tinh_thanh,vung_kinh_te,vung_mien,nam,so_ket_hon,tfr,dan_so_2019,mat_do,ty_le_ket_hon,tfr_level,marriage_rate_level,urban_rural,so_ket_hon_prev,trend,trend_label
An Giang,Đồng bằng sông Cửu Long,Nam,2019,19080.0,1.85,539.0,540.8,35398.88682745826,Trung bình,Trung bình,Bán đô thị,,0,Giảm
An Giang,Đồng bằng sông Cửu Long,Nam,2020,16448.0,1.9,539.0,540.8,30515.769944341373,Trung bình,Trung bình,Bán đô thị,19080.0,0,Giảm
An Giang,Đồng bằng sông Cửu Long,Nam,2021,13765.0,1.94,539.0,540.8,25538.03339517625,Trung bình,Trung bình,Bán đô thị,16448.0,0,Giảm
An Giang,Đồng bằng sông Cửu Long,Nam,2022,19300.0,1.85,539.0,540.8,35807.05009276438,Trung bình,Trung bình,Bán đô thị,13765.0,1,Tăng/Giữ nguyên
An Giang,Đồng bằng sông Cửu Long,Nam,2023,17715.0,1.81,539.0,540.8,32866.41929499072,Trung bình,Trung bình,Bán đô thị,19300.0,0,Giảm
An Giang,Đồng bằng sông Cửu Long,Nam,2024,15532.0,1.74,539.0,540.8,28816.326530612245,Thấp,Trung bình,Bán đô thị,17715.0,0,Giảm
Bà Rịa - Vũng Tàu,Đông Nam Bộ,Nam,2019,10225.0,1.87,582.0,602.6,17568.72852233677,Trung bình,Thấp,Bán đô thị,,0,Giảm
Bà Rịa - Vũng Tàu,Đông Nam Bộ,Nam,2020,9027.0,1.94,582.0,602.6,15510.309278350516,Trung bình,Thấp,Bán đô thị,10225.0,0,Giảm
Bà Rịa - Vũng Tàu,Đông Nam Bộ,Nam,2021,5504.0,1.78,582.0,602.6,9457.04467353952,Thấp,Thấp,Bán đô thị,9027.0,0,Giảm
Bà Rịa - Vũng Tàu,Đông Nam Bộ,Nam,2022,10130.0,1.91,582.0,602.6,17405.49828178694,Trung bình,Thấp,Bán đô thị,5504.0,1,Tăng/Giữ nguyên
Bà Rịa - Vũng Tàu,Đông Nam Bộ,Nam,2023,9252.0,1.61,582.0,602.6,15896.907216494847,Thấp,Thấp,Bán đô thị,10130.0,0,Giảm
Bà Rịa - Vũng Tàu,Đông Nam Bộ,Nam,2024,7805.0,1.53,582.0,602.6,13410.6529209622,Thấp,Thấp,Bán đô thị,9252.0,0,Giảm
Bình Dương,Đông Nam Bộ,Nam,2019,9638.0,1.54,912.0,1065.3,10567.982456140351,Thấp,Thấp,Đô thị,,0,Giảm
Bình Dương,Đông Nam Bộ,Nam,2020,8328.0,1.63,912.0,1065.3,9131.578947368422,Thấp,Thấp,Đô thị,9638.0,0,Giảm
Bình Dương,Đông Nam Bộ,Nam,2021,5996.0,1.62,912.0,1065.3,6574.561403508772,Thấp,Thấp,Đô thị,8328.0,0,Giảm
Bình Dương,Đông Nam Bộ,Nam,2022,9793.0,1.45,912.0,1065.3,10737.938596491227,Thấp,Thấp,Đô thị,5996.0,1,Tăng/Giữ nguyên
Bình Dương,Đông Nam Bộ,Nam,2023,8428.0,1.63,912.0,1065.3,9241.228070175439,Thấp,Thấp,Đô thị,9793.0,0,Giảm
Bình Dương,Đông Nam Bộ,Nam,2024,7829.0,1.57,912.0,1065.3,8584.429824561405,Thấp,Thấp,Đô thị,8428.0,0,Giảm
Bình Phước,Đông Nam Bộ,Nam,2019,6693.0,2.27,145.0,154.5,46158.620689655174,Cao,Cao,Nông thôn,,0,Giảm
Bình Phước,Đông Nam Bộ,Nam,2020,7305.0,2.25,145.0,154.5,50379.31034482759,Cao,Cao,Nông thôn,6693.0,1,Tăng/Giữ nguyên
Bình Phước,Đông Nam Bộ,Nam,2021,5518.0,2.21,145.0,154.5,38055.1724137931,Cao,Trung bình,Nông thôn,7305.0,0,Giảm
Bình Phước,Đông Nam Bộ,Nam,2022,9734.0,2.29,145.0,154.5,67131.03448275862,Cao,Cao,Nông thôn,5518.0,1,Tăng/Giữ nguyên
Bình Phước,Đông Nam Bộ,Nam,2023,8316.0,2.17,145.0,154.5,57351.724137931036,Cao,Cao,Nông thôn,9734.0,0,Giảm
Bình Phước,Đông Nam Bộ,Nam,2024,8545.0,2.09,145.0,154.5,58931.034482758616,Trung bình,Cao,Nông thôn,8316.0,1,Tăng/Giữ nguyên
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2019,12327.0,1.91,155.0,159.4,79529.03225806452,Trung bình,Cao,Nông thôn,,0,Giảm
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2020,11608.0,1.96,155.0,159.4,74890.32258064517,Trung bình,Cao,Nông thôn,12327.0,0,Giảm
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2021,7314.0,2.06,155.0,159.4,47187.096774193546,Trung bình,Cao,Nông thôn,11608.0,0,Giảm
