age,age_group,sex,region,urban_rural,education,income_pc,income_level,has_child,marital_class
19,18-24,Nữ,Bắc,Nông thôn,≤THPT,2249.4851415036615,low,0,0
24,18-24,Nữ,Bắc,Nông thôn,≤THPT,3769.524868359437,mid,0,0
31,30-35,Nữ,Nam,Đô thị,ĐH,1886.1179737759712,low,0,0
31,30-35,Nữ,Bắc,Đô thị,≤THPT,6487.2339403792585,high,0,0
23,18-24,Nữ,Nam,Đô thị,ĐH,2108.838233299537,low,0,0
30,30-35,Nam,Nam,Đô thị,≤THPT,4288.187092851814,high,0,1
20,18-24,Nữ,Trung,Nông thôn,ĐH,4366.469927119451,high,0,1
31,30-35,Nữ,Bắc,Đô thị,≤THPT,5580.826092478307,high,0,0
18,18-24,Nam,Nam,Nông thôn,>ĐH,2168.3914417516307,low,0,0
25,25-29,Nam,Nam,Đô thị,CĐ,1836.7141013572912,low,0,1
18,18-24,Nữ,Nam,Nông thôn,ĐH,2288.403654784516,low,0,0
25,25-29,Nam,Bắc,Đô thị,CĐ,1518.2576119543535,low,0,1
33,30-35,Nữ,Nam,Nông thôn,≤THPT,3213.5632392233965,mid,0,0
19,18-24,Nữ,Nam,Đô thị,>ĐH,8194.464737954679,high,0,0
34,30-35,Nam,Bắc,Đô thị,ĐH,1742.095027646678,low,0,0
24,18-24,Nam,Bắc,Đô thị,≤THPT,4220.598002243614,high,0,0
22,18-24,Nam,Nam,Đô thị,>ĐH,4755.395611069281,high,0,0
34,30-35,Nữ,Nam,Nông thôn,≤THPT,1520.9163336016666,low,1,0
35,30-35,Nam,Nam,Đô thị,≤THPT,3039.753950149196,mid,0,0
27,25-29,Nữ,Bắc,Nông thôn,≤THPT,4394.247169131456,high,0,0
33,30-35,Nam,Bắc,Đô thị,ĐH,1822.5256081681812,low,0,0
33,30-35,Nữ,Bắc,Nông thôn,≤THPT,3997.1712531150374,mid,0,0
27,25-29,Nam,Nam,Đô thị,ĐH,6624.1478935024115,high,0,1
24,18-24,Nữ,Nam,Nông thôn,≤THPT,2997.5828876405135,mid,0,0
26,25-29,Nam,Bắc,Nông thôn,≤THPT,2766.3457743428644,mid,0,0
18,18-24,Nữ,Trung,Đô thị,≤THPT,7046.940382854178,high,0,0
33,30-35,Nam,Bắc,Nông thôn,CĐ,2272.575896033964,low,0,1
21,18-24,Nam,Bắc,Đô thị,≤THPT,3216.3761276774717,mid,0,0
22,18-24,Nữ,Bắc,Nông thôn,CĐ,2365.321417757724,low,0,0
19,18-24,Nữ,Bắc,Nông thôn,CĐ,4320.7570793595305,high,0,1
23,18-24,Nữ,Bắc,Đô thị,CĐ,6369.425902725037,high,0,0
27,25-29,Nam,Nam,Nông thôn,ĐH,4144.379318231466,high,0,0
35,30-35,Nam,Bắc,Nông thôn,≤THPT,3671.379132024448,mid,1,1
20,18-24,Nam,Bắc,Nông thôn,>ĐH,1082.7067792295886,low,0,0
21,18-24,Nữ,Nam,Nông thôn,≤THPT,1804.9755312641284,low,0,0
21,18-24,Nam,Trung,Nông thôn,ĐH,2454.604047249713,mid,0,0
27,25-29,Nam,Trung,Nông thôn,CĐ,3140.862572754911,mid,0,1
24,18-24,Nam,Bắc,Nông thôn,≤THPT,4551.676422924309,high,0,0
18,18-24,Nữ,Bắc,Nông thôn,≤THPT,2266.7417730913,low,0,0
31,30-35,Nam,Nam,Đô thị,ĐH,6568.542776820674,high,0,0
23,18-24,Nữ,Bắc,Nông thôn,≤THPT,1971.5731159606835,low,0,0
33,30-35,Nữ,Bắc,Nông thôn,≤THPT,3833.2683369228293,mid,0,0
29,25-29,Nữ,Nam,Đô thị,≤THPT,1265.5695916133075,low,0,0
29,25-29,Nam,Bắc,Đô thị,≤THPT,4640.317332619524,high,0,0
