Model,Feature,Importance
decision_tree_entropy,YEAR,0.013577013260050124
decision_tree_entropy,URBAN,0.037147408687381485
decision_tree_entropy,SEX,0.10153539306115474
decision_tree_entropy,AGE,0.7539735279524415
decision_tree_entropy,EDATTAIN,0.08784589911207874
decision_tree_entropy,OWNERSHIP,0.005920757926893534
decision_tree_gini,YEAR,0.010748560841305047
decision_tree_gini,URBAN,0.03237953900725655
decision_tree_gini,SEX,0.10034436623009621
decision_tree_gini,AGE,0.7671933885998489
decision_tree_gini,EDATTAIN,0.08460771479817868
decision_tree_gini,OWNERSHIP,0.004726430523314456
random_forest,YEAR,0.012436271997135581
random_forest,URBAN,0.029182066480038047
random_forest,SEX,0.07712903356070781
random_forest,AGE,0.7880542050346606
random_forest,EDATTAIN,0.08462592762645274
random_forest,OWNERSHIP,0.00857249530100515
