Feature,Importance
age_group_18-24,0.4691677561949582
household_size,0.1877054816925359
age,0.11731598303380959
sex_Nam,0.06593496545242064
household_size_group_1-2 người,0.045728325080586635
sex_Nữ,0.03375118047086168
living_area,0.015074038925306133
urban_rural_Đô thị,0.014036202149985607
education_level_ĐH/CĐ+,0.011211720342108555
home_ownership,0.010782041860437602
urban_rural_Nông thôn,0.009835314735275444
region_Bắc,0.008672670470973436
education_level_≤THPT,0.00566343666215474
region_Nam,0.004143621903657577
region_Trung,0.0007042621187352176
age_group_30-35,9.36024100885876e-05
household_size_group_3-4 người,8.228594713715553e-05
age_group_25-29,4.670074821874062e-05
household_size_group_5-6 người,3.630909813552991e-05
living_area_level_Khá,8.51710670979891e-06
living_area_level_Trung bình,5.583595903196532e-06
living_area_level_Nhỏ,0.0
living_area_level_Rộng,0.0
household_size_group_>6 người,0.0
