Feature,Importance
age,0.31013503725808966
household_size,0.18500379986946003
age_group_18-24,0.17588944493155947
age_group_30-35,0.09649066337137567
age_group_25-29,0.037716509271413005
sex_Nam,0.03657037051942877
sex_Nữ,0.03496241586268348
household_size_group_1-2 người,0.030078666342421654
household_size_group_3-4 người,0.014785102500705671
urban_rural_Đô thị,0.012988558672476391
urban_rural_Nông thôn,0.012676687761284475
living_area,0.01099223512047313
home_ownership,0.008025341208799814
education_level_ĐH/CĐ+,0.00726191150197037
region_Bắc,0.0058476771095950465
education_level_≤THPT,0.005782818655855119
living_area_level_Nhỏ,0.004977953299447756
region_Nam,0.003486166583682711
living_area_level_Rộng,0.0019776808608165434
region_Trung,0.0018663993570097572
household_size_group_5-6 người,0.0010585443037142408
living_area_level_Trung bình,0.000697154238422352
living_area_level_Khá,0.0006207773120555544
household_size_group_>6 người,0.00010808408725939417
